Algorithm,Description,tn
RandomForestClassifier,gini - 10,7.0
RandomForestClassifier,gini - 20,7.0
RandomForestClassifier,gini - 50,7.0
RandomForestClassifier,gini - 100,7.0
RandomForestClassifier,gini - 150,7.0
RandomForestClassifier,gini - 200,7.0
RandomForestClassifier,gini - 250,7.0
RandomForestClassifier,gini - 500,7.0
RandomForestClassifier,gini - 750,7.0
RandomForestClassifier,gini - 1000,7.0
RandomForestClassifier,gini - 1500,7.0
RandomForestClassifier,entropy - 20,7.0
RandomForestClassifier,entropy - 50,7.0
RandomForestClassifier,entropy - 100,7.0
RandomForestClassifier,entropy - 150,7.0
RandomForestClassifier,entropy - 200,7.0
RandomForestClassifier,entropy - 250,7.0
RandomForestClassifier,entropy - 500,7.0
RandomForestClassifier,entropy - 750,7.0
RandomForestClassifier,entropy - 1000,7.0
RandomForestClassifier,entropy - 1500,7.0
NuSVC,kernel: poly,7.0
NuSVC,kernel: sigmoid,7.0
auto,minkowski-uniform KNN: 2,7.0
auto,euclidean-uniform KNN: 2,7.0
ball_tree,minkowski-uniform KNN: 2,7.0
ball_tree,euclidean-uniform KNN: 2,7.0
kd_tree,minkowski-uniform KNN: 2,7.0
kd_tree,euclidean-uniform KNN: 2,7.0
brute,minkowski-uniform KNN: 2,7.0
brute,euclidean-uniform KNN: 2,7.0
